EMAIL_USER,TEN_CHI_TIEU_CODE,TRONG_SO_CHITIEU, CHI_TIEU_THANG 
anhnt110,Total,100%,
anhnt110,1_To_tung,10%,
anhnt110,To_tung_SEC,50%,
anhnt110,Thu_ly_SEC,20%, 708.02 
anhnt110,Tham_dinh_SEC,20%, 202.03 
anhnt110,Ban_an_SEC,20%, 149.15 
anhnt110,QD_THA_SEC,20%, 94.35 
anhnt110,Ke_bien_SEC,20%, 104.30 
anhnt110,To_tung_UNS,50%,
anhnt110,Thu_ly_UNS,33%, 97.00 
anhnt110,Ban_an_UNS,33%, 19.00 
anhnt110,QD_THA_UNS,33%, 29.08 
anhnt110,2_So_thu,90%,
anhnt110,BB_SEC_non_WO,67%, 144.72 
anhnt110,Thu_Giu,15%, 272.62 
anhnt110,BB_SEC_WO,13%, 7.88 
anhnt110,GB_All,5%, 11.38 
datnv1,Total,100%, -   
datnv1,1_To_tung,10%, -   
datnv1,To_tung_SEC,50%, -   
datnv1,Thu_ly_SEC,20%, 161.29 
datnv1,Tham_dinh_SEC,20%, 180.40 
datnv1,Ban_an_SEC,20%, 66.18 
datnv1,QD_THA_SEC,20%, 60.28 
datnv1,Ke_bien_SEC,20%, 37.82 
datnv1,To_tung_UNS,50%, -   
datnv1,Thu_ly_UNS,33%, 213.00 
datnv1,Ban_an_UNS,33%, 27.00 
datnv1,QD_THA_UNS,33%, 19.57 
datnv1,2_So_thu,90%, -   
datnv1,BB_SEC_non_WO,41%, 185.20 
datnv1,Thu_Giu,15%, 123.87 
datnv1,BB_SEC_WO,40%, 48.93 
datnv1,GB_All,4%, 21.11 
minhtc,Total,100%, -   
minhtc,1_To_tung,10%, -   
minhtc,To_tung_SEC,50%, -   
minhtc,Thu_ly_SEC,20%, 216.49 
minhtc,Tham_dinh_SEC,20%, 301.73 
minhtc,Ban_an_SEC,20%, 62.71 
minhtc,QD_THA_SEC,20%, 119.76 
minhtc,Ke_bien_SEC,20%, 15.66 
minhtc,To_tung_UNS,50%, -   
minhtc,Thu_ly_UNS,33%, 359.00 
minhtc,Ban_an_UNS,33%, 37.00 
minhtc,QD_THA_UNS,33%, 15.29 
minhtc,2_So_thu,90%, -   
minhtc,BB_SEC_non_WO,55%, 211.66 
minhtc,Thu_Giu,15%, 93.04 
minhtc,BB_SEC_WO,25%, 26.68 
minhtc,GB_All,5%, 7.01 
quangvn,Total,100%, -   
quangvn,1_To_tung,10%, -   
quangvn,To_tung_SEC,50%, -   
quangvn,Thu_ly_SEC,20%, 232.37 
quangvn,Tham_dinh_SEC,20%, 160.50 
quangvn,Ban_an_SEC,20%, 56.83 
quangvn,QD_THA_SEC,20%, 94.28 
quangvn,Ke_bien_SEC,20%, 23.80 
quangvn,To_tung_UNS,50%,
quangvn,Thu_ly_UNS,33%, 381.00 
quangvn,Ban_an_UNS,33%, 56.00 
quangvn,QD_THA_UNS,33%, 21.36 
quangvn,2_So_thu,90%,
quangvn,BB_SEC_non_WO,53%, 181.67 
quangvn,Thu_Giu,15%, 49.49 
quangvn,BB_SEC_WO,27%, 24.97 
quangvn,GB_All,5%, 14.62 
SONHX1,Total,100%, -   
SONHX1,1_To_tung,10%, -   
SONHX1,To_tung_SEC,50%, -   
SONHX1,Thu_ly_SEC,30%, 331.60 
SONHX1,Tham_dinh_SEC,30%, 495.63 
SONHX1,Ban_an_SEC,40%, 203.23 
SONHX1,To_tung_UNS,50%, -   
SONHX1,Thu_ly_UNS,50%, 242.00 
SONHX1,Ban_an_UNS,50%, 40.00 
SONHX1,2_So_thu,90%, -   
SONHX1,BB_SEC_non_WO,51%, 81.08 
SONHX1,Thu_Giu,15%, 178.27 
SONHX1,BB_SEC_WO,29%, 12.63 
SONHX1,GB_All,4%, 7.15 
trungdt,Total,100%, -   
trungdt,1_To_tung,10%, -   
trungdt,To_tung_SEC,50%, -   
trungdt,Thu_ly_SEC,20%, 328.96 
trungdt,Tham_dinh_SEC,20%, 250.53 
trungdt,Ban_an_SEC,20%, 42.04 
trungdt,QD_THA_SEC,20%, 72.35 
trungdt,Ke_bien_SEC,20%, 26.20 
trungdt,To_tung_UNS,50%, -   
trungdt,Thu_ly_UNS,33%, 453.00 
trungdt,Ban_an_UNS,33%, 79.00 
trungdt,QD_THA_UNS,33%, 41.81 
trungdt,2_So_thu,90%, -   
trungdt,BB_SEC_non_WO,67%, 102.88 
trungdt,Thu_Giu,15%, 124.27 
trungdt,BB_SEC_WO,5%, 2.09 
trungdt,GB_All,13%, 20.15 
tuongna,Total,100%, -   
tuongna,1_To_tung,10%, -   
tuongna,To_tung_SEC,50%, -   
tuongna,Thu_ly_SEC,20%, 524.85 
tuongna,Tham_dinh_SEC,20%, 342.89 
tuongna,Ban_an_SEC,20%, 112.45 
tuongna,QD_THA_SEC,20%, 114.24 
tuongna,Ke_bien_SEC,20%, 48.22 
tuongna,To_tung_UNS,50%, -   
tuongna,Thu_ly_UNS,33%, 702.00 
tuongna,Ban_an_UNS,33%, 80.00 
tuongna,QD_THA_UNS,33%, 29.85 
tuongna,2_So_thu,90%, -   
tuongna,BB_SEC_non_WO,72%, 204.37 
tuongna,BB_SEC_WO,7%, 5.57 
tuongna,GB_All,6%, 17.79 
tuongna,Thu_Giu,15%, 146.87 
ANHBQ10,Total,100%,
ANHBQ10,1_To_tung,50%,
ANHBQ10,To_tung_SEC,100%,
ANHBQ10,Thu_ly_SEC,30%, 100.87 
ANHBQ10,Tham_dinh_SEC,30%, 164.12 
ANHBQ10,Ban_an_SEC,40%, 15.51 
ANHBQ10,To_tung_UNS,0%,
ANHBQ10,Thu_ly_UNS,0%, -   
ANHBQ10,Ban_an_UNS,0%, -   
ANHBQ10,2_So_thu,50%,
ANHBQ10,BB_SEC_non_WO,88%, 52.93 
ANHBQ10,BB_SEC_WO,5%, 0.28 
ANHBQ10,GB_All,7%, 4.31 
ANHBQ10,BB_UNS,0%, -   
ANHNT110,Total,100%,
ANHNT110,1_To_tung,50%, -   
ANHNT110,To_tung_SEC,50%, -   
ANHNT110,Thu_ly_SEC,30%, 302.49 
ANHNT110,Tham_dinh_SEC,30%, 20.52 
ANHNT110,Ban_an_SEC,40%, 62.47 
ANHNT110,To_tung_UNS,50%, -   
ANHNT110,Thu_ly_UNS,33%, 66.00 
